Organization,Project Name,Project (sq.ft.),Project Address,Zip Code,1 Star,2 Star,3 Star,4 Star,5 Star,AEGB Rating,LEED Certification,Building Use,Agreements,Voluntary Participation,Program,Rating Version,Fiscal Year Reported,PropertyID,New Georeferenced Column,Stories Above Grade,Number of Residential Units,Fiscal Year Date,Fiscal Year End Date,City,State
,St. Edward’s University John Brooks Williams Natural Sciences Facility - Phase II,56535,3301 S CONGRESS AVE,78704,0,0,1,0,0,3-star,,Office/ School,,Yes,Commercial,Commercial Rating 2010,2014,,POINT (-97.759754106 30.230317305),3,,10/01/2013,09/30/2014,Austin,TX
,Austin City College Phase 2 + Parking Garage,418580,6101 HIGHLAND CAMPUS DR,78752,0,1,0,0,0,2-star,Gold,School/ Other,,Yes,Commercial,COMMERCIAL RATING 2016,2022,,POINT (-97.71356102 30.325979996),2,,10/01/2021,09/30/2022,Austin,TX
,Covered Bridge Lot 2A / Lot 3A,19500,8701 W SH 71,78735,0,1,0,0,0,2-star,,Office/ Retail,Covered Bridge PUD,No,Commercial,COMMERCIAL RATING 2013,2019,,POINT (-97.895536999 30.249849013),1,,10/01/2018,09/30/2019,Austin,TX
,Verdance Condos,39640,3200 GRANDVIEW ST,78705,1,0,0,0,0,1-star,,Residential,University Neighborhood Overlay (UNO),No,Commercial,Commercial Rating 2006,2011,,POINT (-97.744549 30.301550981),8,16,10/01/2010,09/30/2011,Austin,TX
,ABC Bank - American Bank of Commerce,30055,610 W 5TH ST,78701,1,0,0,0,0,1-star,,Office/ Other,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2006,2007,,POINT (-97.749439002 30.269195996),6,,10/01/2006,09/30/2007,Austin,TX
,Truluck's Seafood Steak & Crab House,16030,400 COLORADO ST,78701,1,0,0,0,0,1-star,,Restaurant,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2010,2017,,POINT (-97.745024002 30.266815997),2,,10/01/2016,09/30/2017,Austin,TX
,Retail Building 10 at Mueller,10990,1200 BARBARA JORDAN BLVD 10,78723,0,0,0,0,0,,Silver,Retail,Mueller LEED only,No,Commercial,LEED BD+C: Core and Shell v2 - LEED 2.0,2017,,POINT (-97.70983803 30.307796002),1,,10/01/2016,09/30/2017,Austin,TX
,Jamba Juice at Mueller,1389,1201 BARBARA JORDAN BLVD 12 UNIT 1295,78723,0,0,1,0,0,3-star,,Retail,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2009,,POINT (-97.70985999 30.30557002),1,,10/01/2008,09/30/2009,Austin,TX
,TownePlace Suites by Marriott near Domain,60589,2237 BRAKER LN,78758,1,0,0,0,0,1-star,,Hotel,North Burnet/Gateway,No,Commercial,COMMERCIAL RATING 2016,2021,,POINT (-97.712803966 30.390764019),5,0,10/01/2020,09/30/2021,Austin,TX
,SEDL at Mueller,51625,4700 MUELLER BLVD,78723,0,0,0,0,0,,Silver,Office,Mueller LEED only,No,Commercial,LEED BD+C: New Construction v2 - LEED 2.1,2009,,POINT (-97.706445035 30.300667989),2,,10/01/2008,09/30/2009,Austin,TX
,St. Edward's University Alumni Gym (Remodel),14395,3001 S CONGRESS AVE,78704,0,0,1,0,0,3-star,,Office/ Other,,Yes,Commercial,Commercial Rating 2010,2015,,POINT (-97.755554019 30.232142997),1,,10/01/2014,09/30/2015,Austin,TX
,Ben White Mini Storage,76950,6130 E BEN WHITE BLVD,78741,0,0,0,1,0,4-star,,Office/ Warehouse,,Yes,Commercial,Commercial Rating 2013,2016,,POINT (-97.713498994 30.213420005),3,,10/01/2015,09/30/2016,Austin,TX
,Austin Community College Parking Garage,2861,824 W 12TH ST,78701,0,0,1,0,0,3-star,,Other,,Yes,Commercial,Commercial Rating 2007,2010,,POINT (-97.749445037 30.276627015),6,,10/01/2009,09/30/2010,Austin,TX
,Waterloo Park and Performance Venue,29000,500 E 12TH St,78701,0,0,0,1,0,4-star,,Other,,Yes,Commercial,COMMERCIAL RATING 2016,2021,,POINT (-97.735755964 30.273142993),1,,10/01/2020,09/30/2021,Austin,TX
,Paloma Ridge - Buildings A & B,212400,13620 N FM 620 RD SB,78717,1,0,0,0,0,1-star,,Office,,Yes,Commercial,COMMERCIAL RATING 2013,2020,,POINT (-97.77881028 30.476522078),2,,10/01/2019,09/30/2020,Austin,TX
,AISD Kealing Middle School Addition,34000,1607 PENNSYLVANIA AVE,78702,0,0,0,1,0,4-star,,School,,Yes,Commercial,AISD Rating 2006,2007,,POINT (-97.721416036 30.270961016),1,,10/01/2006,09/30/2007,Austin,TX
,The Salvation Army Corps Community & Administration Center,23600,4700 MANOR RD,78723,0,1,0,0,0,2-star,,Office/ Worship/ Other,,Yes,Commercial,COMMERCIAL RATING 2013,2019,,POINT (-97.689686007 30.294834017),2,,10/01/2018,09/30/2019,Austin,TX
,Velocity Credit Union Slaughter Lane Branch,3949,9300 S IH 35 SVRD SB I,78748,0,1,0,0,0,2-star,,Office/Bank,,Yes,Commercial,Pilot Commercial Rating,2005,,POINT (-97.789643974 30.165157006),1,,10/01/2004,09/30/2005,Austin,TX
,Greenwater Apartments (The Northshore),616385,110 SAN ANTONIO ST,78701,0,0,1,0,0,3-star,Silver,Residential/ Office/ Retail/ Restaurant,"Downtown (CBD-DMU), Green Water Treatment Plant Redevelopment",No,Commercial,Commercial Rating 2010,2018,,POINT (-97.749484013 30.26531199),38,439,10/01/2017,09/30/2018,Austin,TX
,Bodhi Yoga,4800,12801 SHOPS PKWY,78738,0,1,0,0,0,2-star,,Retail,,Yes,Commercial,Commercial Rating 2008,2013,,POINT (-97.942294021 30.30578401),1,,10/01/2012,09/30/2013,Austin,TX
,HillTop Student Housing,224730,2400 SAN GABRIEL ST,78705,1,0,0,0,0,1-star,,Residential,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Commercial,COMMERCIAL RATING 2016,2021,,POINT (-97.748104016 30.28839001),8,142,10/01/2020,09/30/2021,Austin,TX
,Doss Elementary School,145372,7005 NORTHLEDGE DR,78731,0,0,0,1,0,4-star,,School,,Yes,Commercial,COMMERCIAL RATING 2016,2022,,POINT (-97.760063986 30.355178984),5,,10/01/2021,09/30/2022,Austin,TX
,SkyHouse Austin,339730,51 RAINEY ST,78701,1,0,0,0,0,1-star,,Residential/ Retail,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2010,2014,,POINT (-97.739208973 30.256889979),23,320,10/01/2013,09/30/2014,Austin,TX
,City of Austin Fire Station #15 - Women's Locker Room Addition,220,829 AIRPORT BLVD,78702,0,0,0,0,0,pilot,,Municipal,,Yes,Commercial,Pilot Commercial Rating,2007,,POINT (-97.69268698 30.256909006),1,,10/01/2006,09/30/2007,Austin,TX
