Organization,Project (sq.ft.),Zip Code,1 Star,2 Star,3 Star,4 Star,5 Star,AEGB Rating,LEED Certification,Building Use,Agreements,Voluntary Participation,Program,Rating Version,Fiscal Year Reported,PropertyID,New Georeferenced Column,Stories Above Grade,Number of Residential Units,Fiscal Year Date,Fiscal Year End Date,City,State,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2003,,POINT (-97.738092 30.150107006),,1,10/1/02,9/30/03,Austin,TX,
Devonshire Park,,78723,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2007,,POINT (-97.686080028 30.292871017),,1,10/1/06,9/30/07,Austin,TX,
Legacy DCS,,,,,,,,,,,,,,,,,,,,,,,,
Newmark Homes,,78732,0,0,1,0,0,3-star,,Residential,,,Single Family,6,2002,,POINT (-97.902065999 30.379098002),,1,10/1/01,9/30/02,Austin,TX,
Urbana Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2020,,POINT (-97.760218968 30.152916997),,1,10/1/19,9/30/20,Austin,TX,
D.R. Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2017,,POINT (-97.64871803 30.369867012),,1,10/1/16,9/30/17,Austin,TX,
Barley + Pfeiffer Architects,,78703,0,0,0,0,1,5-star,,Residential,,,Single Family,7.2,2006,,POINT (-97.777563975 30.296593001),,1,10/1/05,9/30/06,Austin,TX,
Lennar,,78652,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2018,,POINT (-97.80947497 30.12763198),,1,10/1/17,9/30/18,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2021,,POINT (-97.694862 30.201608017),,1,10/1/20,9/30/21,Austin,TX,
Hammonds Homes,,78759,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2003,,POINT (-97.775718029 30.401954991),,1,10/1/02,9/30/03,Austin,TX,
Mezger Homes,,,,,,,,,,,,,,,,,,,,,,,,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2006,,POINT (-97.742304996 30.160030006),,1,10/1/05,9/30/06,Austin,TX,
Tramco Properties,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,7.1,2005,,POINT (-97.756109991 30.177871012),,1,10/1/04,9/30/05,Austin,TX,
KB Home,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,6,2002,,POINT (-97.740707992 30.164721985),,1,10/1/01,9/30/02,Austin,TX,
Newmark Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2000,,POINT (-97.883122981 30.20830499),,1,10/1/99,9/30/00,Austin,TX,
Newmark Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2001,,POINT (-97.884268033 30.20823102),,1,10/1/00,9/30/01,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2005,,POINT (-97.741205039 30.157723012),,1,10/1/04,9/30/05,Austin,TX,
MWM DesignGroup,,78741,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2020,,POINT (-97.726039997 30.243228986),,1,10/1/19,9/30/20,Austin,TX,
Centex Homes,,78741,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2007,,POINT (-97.694921008 30.223192005),,1,10/1/06,9/30/07,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2007,,POINT (-97.748929969 30.151209016),,1,10/1/06,9/30/07,Austin,TX,
Newmark Homes,,78732,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2000,,POINT (-97.900033857 30.37131018),,1,10/1/99,9/30/00,Austin,TX,
Urbana Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2020,,POINT (-97.760218968 30.152916997),,1,10/1/19,9/30/20,Austin,TX,
Casas Sendero,,78724,0,1,0,0,0,2-star,,Residential,,,Single Family,7,2006,,POINT (-97.63515 30.2882753),,1,10/1/05,9/30/06,Austin,TX,
Affordable Housing Construction,,78741,0,0,1,0,0,3-star,,Residential,,,Single Family,7,2004,,POINT (-97.731231999 30.223588008),,1,10/1/03,9/30/04,Austin,TX,
Lennar,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2008,,POINT (-97.767072012 30.139051988),,1,10/1/07,9/30/08,Austin,TX,
Meritage Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2021,,POINT (-97.724746636 30.157444299),,1,10/1/20,9/30/21,Austin,TX,
Avi Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2021,,POINT (-97.755033 30.15239099),,1,10/1/20,9/30/21,Austin,TX,
DJL Properties & Design,,78704,0,1,0,0,0,2-star,,Residential,,,Single Family,2008.2,2010,,POINT (-97.756306966 30.254459018),,1,10/1/09,9/30/10,Austin,TX,
Pacesetter Homes,,78653,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2019,,POINT (-97.553324009 30.298305005),,1,10/1/18,9/30/19,Manor,TX,
Austin Habitat for Humanity,,78724,0,0,0,1,0,4-star,,Residential,,,Single Family,2016,2021,,POINT (-97.646160041 30.305751991),,1,10/1/20,9/30/21,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2005,,POINT (-97.738188979 30.149491984),,1,10/1/04,9/30/05,Austin,TX,
Wilshire Homes,,78759,1,0,0,0,0,1-star,,Residential,,,Single Family,II,1996,,POINT (-97.777088973 30.423002998),,1,10/1/95,9/30/96,Austin,TX,
Urbana Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2020,,POINT (-97.760218968 30.152916997),,1,10/1/19,9/30/20,Austin,TX,
GnM Lohr Homes,,78731,0,0,0,1,0,4-star,,Residential,,,Single Family,2016,2018,,POINT (-97.752923024 30.327846017),,1,10/1/17,9/30/18,Austin,TX,
Newmark Homes,,78730,0,0,1,0,0,3-star,,Residential,,,Single Family,6,2002,,POINT (-97.851813975 30.383074),,1,10/1/01,9/30/02,Austin,TX,
Buffington Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2019,,POINT (-97.714934981 30.158764003),,1,10/1/18,9/30/19,Austin,TX,
Ash Creek Homes,,,,,,,,,,,,,,,,,,,,,,,,
Main Street Homes,,78702,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2006,,POINT (-97.685521039 30.258831019),,1,10/1/05,9/30/06,Austin,TX,
Newmark Homes,,78727,0,0,1,0,0,3-star,,Residential,,,Single Family,6,2002,,POINT (-97.660191011 30.372867985),,1,10/1/01,9/30/02,Austin,TX,
Newmark Homes,,78732,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2000,,POINT (-97.897993986 30.379259018),,1,10/1/99,9/30/00,Austin,TX,
SDC Austin Commun.,,78724,0,0,1,0,0,3-star,,Residential,,,Single Family,II,1997,,POINT (-97.638338971 30.303497007),,1,10/1/96,9/30/97,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2018,,POINT (-97.697842018 30.298152999),,1,10/1/17,9/30/18,Austin,TX,
Main Street Homes,,78702,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2006,,POINT (-97.762761031 30.208739005),,1,10/1/05,9/30/06,Austin,TX,
KB Home,,78747,0,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2011,,POINT (-97.745669995 30.150188981),,1,10/1/10,9/30/11,Austin,TX,
Grand Haven Homes,,78717,0,0,1,0,0,3-star,,Residential,,,Single Family,2012.1,2016,,POINT (-97.791533506 30.481662029),,1,10/1/15,9/30/16,Austin,TX,
Austin Habitat for Humanity,,78721,0,0,0,0,0,2-star,,Residential,,,Single Family,II,1998,,POINT (-97.690642969 30.282675983),,1,10/1/97,9/30/98,Austin,TX,
The Cobra Team,,,,,,,,,,,,,,,,,,,,,,,,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2018,,POINT (-97.698483988 30.30024902),,1,10/1/17,9/30/18,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2007,,POINT (-97.739733009 30.151949013),,1,10/1/06,9/30/07,Austin,TX,
Clark Wilson Homes,,78732,0,1,0,0,0,2-star,,Residential,,,Single Family,6,1999,,POINT (-97.889944007 30.381862982),,1,10/1/98,9/30/99,Austin,TX,
Ash Creek Homes,,,,,,,,,,,,,,,,,,,,,,,,
Lennar,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2011,,POINT (-97.766334991 30.138229011),,1,10/1/10,9/30/11,Austin,TX,
Grand Haven Homes,,78717,0,0,1,0,0,3-star,,Residential,,,Single Family,2012.1,2017,,POINT (-97.790784835 30.486735134),,1,10/1/16,9/30/17,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2017,,POINT (-97.69836597 30.299872002),,1,10/1/16,9/30/17,Austin,TX,
DR Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2019,,POINT (-97.647514975 30.358579019),,1,10/1/18,9/30/19,Austin,TX,
Standard Pacific Homes,,78717,0,1,0,0,0,2-star,,Residential,,,Single Family,0,2015,,POINT (-97.792666907 30.488209091),,1,10/1/14,9/30/15,Austin,TX,
Newmark Homes,,78732,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2000,,POINT (-97.901478008 30.371133015),,1,10/1/99,9/30/00,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2008.2,2010,,POINT (-97.701207016 30.293323011),,1,10/1/09,9/30/10,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,8 legacy,2014,,POINT (-97.700868974 30.197610017),,1,10/1/13,9/30/14,Austin,TX,
Main Street Homes,,78724,1,0,0,0,0,1-star,,Residential,,,Single Family,6,2000,,POINT (-97.641749986 30.305888993),,1,10/1/99,9/30/00,Austin,TX,
KB Home,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2008,,POINT (-97.727094021 30.198228015),,1,10/1/07,9/30/08,Austin,TX,
D.R. Horton,,78757,0,1,0,0,0,2-star,,Residential,,,Single Family,2012.1,2015,,POINT (-97.719684 30.342099988),,1,10/1/14,9/30/15,Austin,TX,
KB Home,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,8 legacy,2014,,POINT (-97.615010961 30.34615201),,1,10/1/13,9/30/14,Austin,TX,
The Brohn Group,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2020,,POINT (-97.57883299 30.332865017),,1,10/1/19,9/30/20,Manor,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2007,,POINT (-97.742177005 30.152201015),,1,10/1/06,9/30/07,Austin,TX,
Guadalupe NDC,,78702,0,0,1,0,0,3-star,,Residential,,,Single Family,7,2003,,POINT (-97.724528991 30.257976987),,1,10/1/02,9/30/03,Austin,TX,
David Weekley Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2002,,POINT (-97.876513013 30.227006986),,1,10/1/01,9/30/02,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2007,,POINT (-97.694913967 30.195638007),,1,10/1/06,9/30/07,Austin,TX,
Westminster Meadows,,,,,,,,,,,,,,,,,,,,,,,,
Main Street Homes,,78723,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2007,,POINT (-97.66964496 30.289501995),,1,10/1/06,9/30/07,Austin,TX,
PSW Homes,,78723,0,0,0,1,0,4-star,,Residential,,,Single Family,2013,2019,,POINT (-97.695974027 30.284592002),,1,10/1/18,9/30/19,Austin,TX,
David Weekley Homes,,78754,0,1,0,0,0,2-star,,Residential,,,Single Family,7,2004,,POINT (-97.655096994 30.37470798),,1,10/1/03,9/30/04,Austin,TX,
Brookfield Residential,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2020,,POINT (-97.716681016 30.154553019),,1,10/1/19,9/30/20,Austin,TX,
Cheldan Homes,,78617,0,0,1,0,0,3-star,,Residential,,,Single Family,7.2,2009,,POINT (-97.617405942 30.177811082),,1,10/1/08,9/30/09,Del Valle,TX,
Constructinople,,78727,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2022,,POINT (-97.694678017 30.416427981),,1,10/1/21,9/30/22,Austin,TX,
Ash Creek Homes,,,,,,,,,,,,,,,,,,,,,,,,
Tramco Properties,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2005,,POINT (-97.760228712 30.179435794),,1,10/1/04,9/30/05,Austin,TX,
Grand Haven Homes,,78717,0,0,1,0,0,3-star,,Residential,,,Single Family,2012.1,2017,,POINT (-97.790955742 30.486691171),,1,10/1/16,9/30/17,Austin,TX,
Centex Homes,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2007,,POINT (-97.623485 30.1722813),,1,10/1/06,9/30/07,Del Valle,TX,
Mark Dawson Homes,,78723,0,1,0,0,0,2-star,,Residential,,,Single Family,6,1999,,POINT (-97.676922967 30.290980018),,1,10/1/98,9/30/99,Austin,TX,
Ash Creek Homes,,,,,,,,,,,,,,,,,,,,,,,,
David Weekley Homes,,78732,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2002,,POINT (-97.904644021 30.375383981),,1,10/1/01,9/30/02,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2016,,POINT (-97.697803042 30.29390702),,1,10/1/15,9/30/16,Austin,TX,
Townbridge Homes,,,,,,,,,,,,,,,,,,,,,,,,
Legacy Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2000,,POINT (-97.873947983 30.205835011),,1,10/1/99,9/30/00,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2016,,POINT (-97.699785027 30.294101983),,1,10/1/15,9/30/16,Austin,TX,
Pacesetter Homes,,78653,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2019,,POINT (-97.553410007 30.298188999),,1,10/1/18,9/30/19,Manor,TX,
Lennar,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2010.1,2016,,POINT (-97.763851014 30.139271007),,1,10/1/15,9/30/16,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,6,2003,,POINT (-97.739969878 30.160395256),,1,10/1/02,9/30/03,Austin,TX,
Lennar,,78702,1,0,0,0,0,1-star,,Residential,,,Single Family,Version 8 Legacy data,2019,,POINT (-97.70026598 30.197933014),,1,10/1/18,9/30/19,Austin,TX,
Affordable Housing Construction,,78741,0,0,1,0,0,3-star,,Residential,,,Single Family,7,2004,,POINT (-97.731492006 30.224231989),,1,10/1/03,9/30/04,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2007,,POINT (-97.695478991 30.200154008),,1,10/1/06,9/30/07,Austin,TX,
Lennar,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2010.1,2017,,POINT (-97.765479031 30.142452987),,1,10/1/16,9/30/17,Austin,TX,
Standard Pacific Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2010,2012,,POINT (-97.700595976 30.295904009),,1,10/1/11,9/30/12,Austin,TX,
MileStone Community Builders,,78731,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2020,,POINT (-97.752264039 30.314743007),,1,10/1/19,9/30/20,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,8.1,2008,,POINT (-97.705972967 30.293266014),,1,10/1/07,9/30/08,Austin,TX,
Urban Intown-Homes,,78723,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2021,,POINT (-97.679510963 30.292099002),,1,10/1/20,9/30/21,Austin,TX,
Lennar,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2007,,POINT (-97.770312958 30.14057301),,1,10/1/06,9/30/07,Austin,TX,
Clark Wilson Homes,,78735,1,0,0,0,0,1-star,,Residential,,,Single Family,II,1996,,POINT (-97.83187502 30.254560984),,1,10/1/95,9/30/96,Austin,TX,
Urbana Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2020,,POINT (-97.760218968 30.152916997),,1,10/1/19,9/30/20,Austin,TX,
Meritage Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,8.1,2008,,POINT (-97.703280029 30.293284999),,1,10/1/07,9/30/08,Austin,TX,
Austin Habitat for Humanity,,78725,0,0,0,1,0,4-star,,Residential,,,Single Family,2008.2,2009,,POINT (-97.580826039 30.240631015),,1,10/1/08,9/30/09,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2012.1,2014,,POINT (-97.701410026 30.299575995),,1,10/1/13,9/30/14,Austin,TX,
KB Home,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2007,,POINT (-97.619213982 30.168963983),,1,10/1/06,9/30/07,Del Valle,TX,
Drees Custom Homes,,78717,0,1,0,0,0,2-star,,Residential,,,Single Family,2012.1,2014,,POINT (-97.794483936 30.485014916),,1,10/1/13,9/30/14,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2008,,POINT (-97.744368034 30.160579984),,1,10/1/07,9/30/08,Austin,TX,
Saldana Homes,,78748,0,0,0,1,0,4-star,,Residential,,,Single Family,8,2009,,POINT (-97.80034297 30.164111992),,1,10/1/08,9/30/09,Austin,TX,
Lennar,,78652,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2017,,POINT (-97.808253978 30.125822998),,1,10/1/16,9/30/17,Austin,TX,
KB Home,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,8 legacy,2014,,POINT (-97.617053966 30.34652798),,1,10/1/13,9/30/14,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2010,,POINT (-97.747695021 30.152499997),,1,10/1/09,9/30/10,Austin,TX,
Drees Custom Homes,,78717,0,1,0,0,0,2-star,,Residential,,,Single Family,0,2014,,POINT (-97.79421429 30.486970037),,1,10/1/13,9/30/14,Austin,TX,
David Weekley Homes,,78758,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2021,,POINT (-97.718445993 30.148269986),,1,10/1/20,9/30/21,Austin,TX,
Callidora Homes,,78610,0,0,0,0,1,5-star,,Residential,,,Single Family,8.1,2008,,POINT (-97.844464973 30.075725997),,1,10/1/07,9/30/08,Austin,TX,
Saldana Homes,,,,,,,,,,,,,,,,,,,,,,,,
Standard Pacific Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2008.2,2012,,POINT (-97.70155101 30.296167997),,1,10/1/11,9/30/12,Austin,TX,
Centerra Homes,,78747,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2019,,POINT (-97.756248963 30.153940008),,1,10/1/18,9/30/19,Austin,TX,
KB Home,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,6,2002,,POINT (-97.739038988 30.160196009),,1,10/1/01,9/30/02,Austin,TX,
Centex Homes,,78741,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2007,,POINT (-97.693264996 30.222510011),,1,10/1/06,9/30/07,Austin,TX,
D.R. Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2019,,POINT (-97.640938031 30.357779009),,1,10/1/18,9/30/19,Austin,TX,
Lennar,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2010.1,2017,,POINT (-97.764810993 30.140865999),,1,10/1/16,9/30/17,Austin,TX,
M/I Homes,,78652,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2022,,POINT (-97.809949295 30.11957101),,1,10/1/21,9/30/22,Austin,TX,
Centex Homes,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2006,,POINT (-97.62543897 30.167058986),,1,10/1/05,9/30/06,Del Valle,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2009,,POINT (-97.747940988 30.151633015),,1,10/1/08,9/30/09,Austin,TX,
Brookfield Residential,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2020,,POINT (-97.716681016 30.154553019),,1,10/1/19,9/30/20,Austin,TX,
Hammonds Homes,,78738,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2005,,POINT (-97.971222986 30.318089985),,1,10/1/04,9/30/05,Austin,TX,
KB Home,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2005,,POINT (-97.731668026 30.198579007),,1,10/1/04,9/30/05,Austin,TX,
Clark Wilson Homes,,78746,1,0,0,0,0,1-star,,Residential,,,Single Family,II,1995,,POINT (-97.926009995 30.309374021),,1,9/30/94,10/1/95,Austin,TX,
Riverside Homes LLC,,78704,0,0,0,1,0,4-star,,Residential,,,Single Family,2012.1,2015,,POINT (-97.776758977 30.249886019),,1,10/1/14,9/30/15,Austin,TX,
David Weekley Homes,,78732,0,1,0,0,0,2-star,,Residential,,,Single Family,7,2007,,POINT (-97.645479011 30.403688997),,1,10/1/06,9/30/07,Austin,TX,
Clark Wilson Homes,,78746,0,1,0,0,0,2-star,,Residential,,,Single Family,6,1999,,POINT (-97.91502199 30.31117701),,1,10/1/98,9/30/99,Austin,TX,
NuHome Development Co.,,78748,0,1,0,0,0,2-star,,Residential,,,Single Family,7.1,2006,,POINT (-97.812517014 30.183832012),,1,10/1/05,9/30/06,Austin,TX,
Mercedes Homes,,78745,0,1,0,0,0,2-star,,Residential,,,Single Family,8.2,2007,,POINT (-97.814508974 30.227370006),,1,10/1/06,9/30/07,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2009,,POINT (-97.74257196 30.150383986),,1,10/1/08,9/30/09,Austin,TX,
David Weekley Homes,,78732,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2002,,POINT (-97.904917019 30.377785019),,1,10/1/01,9/30/02,Austin,TX,
Brookfield Residential,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2020,,POINT (-97.716681016 30.154553019),,1,10/1/19,9/30/20,Austin,TX,
Ash Creek Homes,,,,,,,,,,,,,,,,,,,,,,,,
David Weekley Homes,,78726,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2002,,POINT (-97.817112979 30.433720979),,1,10/1/01,9/30/02,Austin,TX,
Newmark Homes,,78759,0,0,1,0,0,3-star,,Residential,,,Single Family,6,2002,,POINT (-97.776323034 30.404427988),,1,10/1/01,9/30/02,Austin,TX,
Lennar,,78652,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2020,,POINT (-97.808253978 30.125822998),,1,10/1/19,9/30/20,Austin,TX,
SDC Austin Commun.,,78724,0,0,1,0,0,3-star,,Residential,,,Single Family,II,1996,,POINT (-97.639027041 30.30298701),,1,10/1/95,9/30/96,Austin,TX,
Streetman Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2019,,POINT (-97.699847975 30.297121019),,1,10/1/18,9/30/19,Austin,TX,
KB Home,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,0,2015,,POINT (-97.618645019 30.346558993),,1,10/1/14,9/30/15,Austin,TX,
KB Home,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2004,,POINT (-97.732488028 30.198481986),,1,10/1/03,9/30/04,Austin,TX,
Newmark Homes,,78727,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2000,,POINT (-97.683293794 30.426448329),,1,10/1/99,9/30/00,Austin,TX,
Standard Pacific Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2016,,POINT (-97.698973994 30.293977009),,1,10/1/15,9/30/16,Austin,TX,
Dream Finders Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2022,,POINT (-97.717047975 30.142350979),,1,10/1/21,9/30/22,Austin,TX,
Lennar,,78652,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2019,,POINT (-97.809351002 30.126734991),,1,10/1/18,9/30/19,Austin,TX,
MileStone Community Builders,,78731,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2021,,POINT (-97.752264039 30.314743007),,1,10/1/20,9/30/21,Austin,TX,
Standard Pacific Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,8,2008,,POINT (-97.704834034 30.292272004),,1,10/1/07,9/30/08,Austin,TX,
David Weekley Homes,,78717,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2017,,POINT (-97.788973506 30.490632174),,1,10/1/16,9/30/17,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2004,,POINT (-97.741922027 30.161068984),,1,10/1/03,9/30/04,Austin,TX,
Avi Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2018,,POINT (-97.714955014 30.159838018),,1,10/1/17,9/30/18,Austin,TX,
Wes Peoples Homes,,78748,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2016,,POINT (-97.829203959 30.192190991),,1,10/1/15,9/30/16,Austin,TX,
Lennar,,78747,0,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2011,,POINT (-97.769560012 30.142737008),,1,10/1/10,9/30/11,Austin,TX,
Mercedes Homes,,78745,0,1,0,0,0,2-star,,Residential,,,Single Family,7.2,2007,,POINT (-97.814287021 30.227248008),,1,10/1/06,9/30/07,Austin,TX,
MWM DesignGroup,,78741,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2019,,POINT (-97.725601037 30.242803982),,1,10/1/18,9/30/19,Austin,TX,
Legacy Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2001,,POINT (-97.872405042 30.205609999),,1,10/1/00,9/30/01,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2003,,POINT (-97.74018404 30.160744982),,1,10/1/02,9/30/03,Austin,TX,
KB Home,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2010.1,2016,,POINT (-97.621192028 30.348504014),,1,10/1/15,9/30/16,Austin,TX,
Wilshire Homes,,78749,1,0,0,0,0,1-star,,Residential,,,Single Family,II,1996,,POINT (-97.865033996 30.214616982),,1,10/1/95,9/30/96,Austin,TX,
Spring Builders,,,,,,,,,,,,,,,,,,,,,,,,
Clark Wilson Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,6,1998,,POINT (-97.929308022 30.31400301),,1,10/1/97,9/30/98,Austin,TX,
Huffman Homes,,,,,,,,,,,,,,,,,,,,,,,,
D.R. Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2017,,POINT (-97.648173961 30.368190003),,1,10/1/16,9/30/17,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,8.1,2008,,POINT (-97.704434971 30.29398799),,1,10/1/07,9/30/08,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2008.2,2010,,POINT (-97.702380986 30.29303899),,1,10/1/09,9/30/10,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,6,2003,,POINT (-97.740796002 30.161424),,1,10/1/02,9/30/03,Austin,TX,
KB Home,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2004,,POINT (-97.76901896 30.181457),,1,10/1/03,9/30/04,Austin,TX,
Standard Pacific Homes,,78717,0,1,0,0,0,2-star,,Residential,,,Single Family,2012.1,2016,,POINT (-97.79565296 30.487392065),,1,10/1/15,9/30/16,Austin,TX,
Pacesetter Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2021,,POINT (-97.717908964 30.152419992),,1,10/1/20,9/30/21,Austin,TX,
